CPU_Zscore,Memory_Zscore,Disk_Zscore,Network_Zscore,SSD_Health_Zscore,Memory_Pressure,CPU_Efficiency,System_Saturation,SSD_Wear,Label
-0.349413548518202,-0.07155216877481174,-0.3166437051815326,0.9719478481185354,0,80.04449999999999,0.03488372093023256,0.83804,0.0,0
-0.027963063206443713,-0.18499198224428515,-0.28826575528724474,-0.3687485903010599,0,82.0125,0.03986710963455149,0.8515400000000001,0.0,0
-0.42417987581728284,-0.1345242276815591,-0.3230515675633791,-0.3685471556367668,0,79.935,0.03388704318936877,0.83394,0.0,0
0.03343698884788567,-0.02890143103515501,-0.3585602870918122,-0.3685471556367668,0,78.03120000000001,0.04086378737541529,0.85632,0.0,0
-0.3181705178694335,0.021610150997887562,0.0644978053780926,-0.26144774467114185,0,83.4887,0.03554817275747508,0.84866,0.0,0
-0.8233354663892525,-0.9242726984255685,-0.2817559488852692,-0.36854360841566963,0,80.76480000000001,0.027906976744186046,0.8026599999999999,0.0,0
-0.9310029447438672,-0.6505952300296952,-0.33378881055329107,-0.368342214032135,0,78.08429999999998,0.026245847176079737,0.8017599999999999,0.0,0
-0.42748659635292113,-0.7105188322071518,-0.19096643109050856,-0.368342214032135,0,82.512,0.03388704318936877,0.82624,0.0,0
-1.1042640615365338,-0.714060322067054,-0.3110117970997085,-0.368342214032135,0,79.77600000000001,0.023588039867109632,0.79316,0.0,0
-0.7702762043066259,-0.7090370009924492,-0.28637559429066156,-0.40403927307698434,0,81.288,0.02857142857142857,0.80858,0.0,0
-0.6780627074522816,-0.7595417765983609,-0.2056445261335114,-0.3985169373976242,0,86.1362,0.029900332225913623,0.81298,0.0,0
-0.5009576935070219,-2.517492520077167,-0.06924505867509924,-0.39826653126377615,0,77.9058,0.03245033112582782,0.7913600000000001,0.0,0
-1.0656651013406728,-2.4823734698876576,-0.3371165983401266,-0.39801618687655527,0,74.60820000000001,0.02384105960264901,0.7607200000000002,0.0,0
-1.0375657351743903,-2.502251860417505,-0.23229001835990834,-0.3970496245521992,0,80.53639999999999,0.02425249169435216,0.7625399999999999,0.0,0
-0.9230782821936642,-2.5727557966034915,-0.298168034672346,-0.392250721583808,0,76.4712,0.026,0.7644,0.0,0
-0.8091253202375405,-2.639563977681491,-0.29355859077650015,-0.3946301421018474,0,76.5886,0.02766666666666667,0.76748,0.0,0
-0.43593883315181836,-3.0079544113036887,-0.28449039097990475,-0.38899708290123014,0,75.15100000000001,0.03333333333333333,0.77664,0.0,0
-0.889083416925325,-3.1610032840030553,-0.25704712390698486,-0.38408253634909983,0,77.318,0.026333333333333334,0.75212,0.0,0
-1.1004763624521297,-3.102596128588792,-0.3057864941992744,-0.3835431819199181,0,74.63799999999999,0.023,0.74128,0.0,0
-0.5787027361315479,-3.044824586899874,-0.24377178796136817,-0.3835431819199181,0,77.921,0.031000000000000003,0.76636,0.0,0
-0.7731197208700548,-2.9409682898990126,-0.24758325906297865,-0.3835431819199181,0,77.0979,0.028,0.7582999999999999,0.0,0
-1.008175128516618,-2.937019846608267,-0.2847708797942238,-0.38327025897866024,0,75.911,0.024333333333333332,0.74566,0.0,0
-0.7030237787324576,-2.885489848963629,-0.29874433173300496,-0.38299740678806204,0,74.973,0.028999999999999998,0.75942,0.0,0
-0.9566099903184436,-2.7921226938145454,-0.272914273337318,-0.3065780714733931,0,74.3468,0.025,0.7488599999999999,0.0,0
-0.9718417184788531,-2.747258586102005,-0.31046505637675587,-0.3767273691142313,0,74.4139,0.024666666666666667,0.7471999999999999,0.0,0
-0.9247587048355873,-2.749233390405709,-0.29103584067827387,-0.3767273691142313,0,75.442,0.025333333333333333,0.74854,0.0,0
-1.0504164835467402,-2.705950826476752,-0.26357716355440447,-0.3767273691142313,0,77.117,0.023333333333333334,0.74302,0.0,0
