cpu_percent,cpu_frequency_mhz,memory_percent,memory_available_mb,disk_percent,disk_read_mbps,disk_write_mbps,network_upload_mbps,network_download_mbps,process_count,label
12.4,1200.0,78.1,3454.14,3.8,0.09,0.7,0.0,0.0,304,0
17.3,1200.0,77.6,3536.31,3.8,0.54,1.51,0.01,0.51,305,0
21.3,1200.0,78.7,3362.79,3.8,7.05,0.73,0.0,0.15,306,0
33.5,1200.0,79.7,3209.2,3.8,31.14,6.76,0.0,0.07,306,0
15.4,1200.0,77.4,3568.67,3.8,0.97,3.94,0.0,0.0,306,0
12.1,1200.0,77.1,3619.38,3.8,0.82,1.79,0.02,0.02,304,0
13.0,1200.0,76.7,3677.82,3.8,0.4,1.76,0.02,0.02,304,0
9.8,1200.0,76.8,3667.73,3.8,0.16,1.35,0.01,0.02,305,0
10.2,1200.0,76.5,3717.52,3.8,0.06,1.12,0.0,0.01,304,0
10.3,1200.0,75.5,3864.77,3.8,0.09,0.59,0.0,0.0,304,0
9.1,1200.0,75.5,3869.63,3.8,0.14,1.15,0.0,0.0,304,0
8.7,1200.0,75.5,3864.81,3.8,0.09,0.56,0.0,0.0,304,0
10.0,1200.0,75.6,3863.34,3.8,0.07,0.88,0.0,0.0,304,0
9.1,1200.0,75.4,3884.38,3.8,0.06,0.59,0.0,0.0,304,0
12.1,1200.0,75.7,3842.68,3.8,0.07,0.82,0.0,0.0,304,0
9.9,1200.0,75.7,3845.46,3.8,0.03,0.88,0.0,0.0,304,0
9.0,1200.0,75.6,3864.06,3.8,0.12,0.99,0.0,0.01,304,0
10.4,1200.0,74.5,4027.06,3.8,0.16,1.19,0.0,0.02,304,0
10.5,1200.0,74.4,4044.86,3.8,0.03,0.72,0.01,0.01,304,0
10.4,1200.0,75.1,3940.34,3.8,0.1,1.31,0.0,0.0,304,0
15.2,1200.0,75.2,3917.12,3.8,0.29,0.86,0.02,0.07,304,0
11.6,1200.0,75.7,3836.75,3.8,0.06,0.54,0.01,0.04,304,0
11.1,1200.0,75.1,3936.98,3.8,0.06,0.67,0.01,0.0,304,0
10.6,1200.0,75.1,3934.8,3.8,0.05,0.62,0.0,0.0,303,0
9.8,1200.0,74.9,3961.0,3.8,0.05,1.06,0.0,0.0,303,0
9.4,1200.0,75.2,3925.09,3.8,0.05,0.96,0.0,0.01,303,0
8.6,1200.0,75.1,3932.76,3.8,0.02,1.15,0.0,0.0,303,0
8.5,1200.0,74.6,4014.93,3.8,0.0,1.33,0.0,0.0,303,0
8.1,1200.0,74.6,4014.08,3.8,0.01,1.0,0.0,0.0,303,0
8.3,1200.0,74.6,4011.64,3.8,0.07,1.61,0.01,0.01,303,0
10.0,1200.0,74.6,4020.02,3.8,0.01,1.33,0.0,0.0,303,0
8.8,1200.0,74.5,4031.57,3.8,0.04,0.9,0.0,0.0,303,0
8.6,1200.0,74.5,4026.91,3.8,0.04,1.0,0.0,0.01,303,0
8.7,1200.0,74.4,4043.94,3.8,0.01,1.33,0.0,0.0,303,0
8.1,1200.0,74.4,4046.98,3.8,0.01,1.12,0.0,0.0,303,0
8.8,1200.0,74.5,4036.11,3.8,0.05,1.04,0.0,0.01,303,0
8.3,1200.0,74.4,4038.87,3.8,0.01,1.41,0.0,0.0,303,0
7.6,1200.0,74.4,4041.51,3.8,0.01,1.01,0.0,0.0,303,0
9.5,1200.0,74.8,3980.95,3.8,0.06,0.94,0.0,0.0,303,0
11.8,1200.0,75.2,3919.31,3.8,0.07,0.74,0.0,0.0,303,0
10.1,1200.0,73.9,4130.88,3.8,0.03,1.2,0.0,0.0,303,0
9.3,1200.0,73.8,4136.57,3.8,0.06,0.59,0.0,0.0,303,0
13.9,1200.0,75.0,3945.6,3.8,0.27,1.02,0.01,0.04,303,0
11.8,1200.0,74.4,4048.32,3.8,0.06,0.86,0.0,0.02,303,0
12.4,1200.0,74.6,4015.01,3.8,0.03,0.53,0.0,0.0,303,0
9.1,1200.0,74.5,4031.07,3.8,0.01,0.87,0.0,0.0,303,0
10.4,1200.0,74.0,4102.56,3.8,0.03,0.66,0.0,0.0,303,0
9.3,1200.0,73.8,4136.41,3.8,0.01,0.53,0.0,0.0,302,0
9.8,1200.0,73.7,4151.78,3.8,0.04,0.49,0.0,0.0,302,0
10.5,1200.0,73.7,4160.14,3.8,0.04,0.75,0.0,0.0,302,0
9.1,1200.0,73.7,4163.89,3.8,0.01,0.68,0.0,0.0,302,0
9.7,1200.0,73.7,4159.42,3.8,0.01,0.43,0.0,0.0,302,0
11.8,1200.0,73.0,4265.82,3.8,0.03,1.16,0.0,0.0,302,0
8.1,1200.0,73.0,4260.57,3.8,0.01,0.56,0.0,0.0,302,0
9.1,1200.0,73.0,4264.57,3.8,0.03,0.55,0.0,0.0,302,0
10.8,1200.0,73.3,4220.32,3.8,0.01,0.81,0.0,0.0,302,0
9.8,1200.0,73.3,4221.04,3.8,0.01,0.55,0.0,0.0,302,0
8.1,1200.0,73.3,4226.41,3.8,0.02,0.49,0.0,0.0,302,0
9.6,1200.0,73.2,4243.38,3.8,0.01,0.74,0.0,0.0,302,0
8.8,1200.0,73.1,4250.85,3.8,0.01,0.66,0.0,0.01,301,0
10.9,1200.0,73.3,4216.8,3.8,0.0,0.57,0.0,0.01,301,0
9.7,1200.0,73.0,4260.58,3.8,0.02,0.67,0.0,0.0,301,0
8.8,1200.0,73.0,4264.11,3.8,0.01,0.63,0.0,0.0,301,0
9.4,1200.0,73.1,4253.64,3.8,0.02,0.6,0.0,0.0,301,0
10.6,1200.0,73.3,4226.18,3.8,0.01,0.39,0.0,0.0,301,0
10.2,1200.0,73.1,4252.69,3.8,0.01,0.74,0.0,0.0,301,0
10.9,1200.0,73.4,4200.01,3.8,0.03,0.84,0.0,0.0,301,0
8.6,1200.0,73.3,4213.27,3.8,0.01,0.29,0.0,0.0,301,0
8.4,1200.0,73.3,4215.44,3.8,0.01,0.92,0.0,0.0,301,0
9.0,1200.0,73.1,4250.8,3.8,0.01,0.67,0.0,0.0,301,0
10.6,1200.0,73.7,4150.88,3.8,0.02,0.47,0.0,0.0,301,0
10.0,1200.0,73.4,4209.2,3.8,0.02,0.61,0.0,0.0,301,0
9.8,1200.0,73.4,4199.62,3.8,0.33,0.8,0.0,0.0,301,0
9.0,1200.0,73.7,4149.32,3.8,0.01,0.61,0.0,0.0,301,0
10.1,1200.0,73.9,4129.1,3.8,0.02,0.59,0.0,0.0,301,0
9.1,1200.0,73.9,4129.45,3.8,0.24,0.64,0.0,0.01,301,0
